destiny,todo,todo_lagi,rating,reviewers,link
Ubud,Spa & Kebugaran (302),Tamarind Spa at Murni's Houses,"5,0 dari 5 lingkaran",777 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d2197032-Reviews-Tamarind_Spa_at_Murni_s_Houses-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Yeh Pulu Spa,"5,0 dari 5 lingkaran",123 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d10346494-Reviews-Yeh_Pulu_Spa-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Kayumanis Spa Ubud,"5,0 dari 5 lingkaran",161 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d5927659-Reviews-Kayumanis_Spa_Ubud-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),AmrtaSiddhi Ayurvedic Health Centre,"5,0 dari 5 lingkaran",208 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d3296004-Reviews-AmrtaSiddhi_Ayurvedic_Health_Centre-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Blooming Lotus Yoga,"5,0 dari 5 lingkaran",172 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d6599001-Reviews-Blooming_Lotus_Yoga-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Atria Spa,"5,0 dari 5 lingkaran",112 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d13237267-Reviews-Atria_Spa-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Synergy Spa,"5,0 dari 5 lingkaran",170 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d12526026-Reviews-Synergy_Spa-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Sri Ratih Spa,"5,0 dari 5 lingkaran",203 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d6598958-Reviews-Sri_Ratih_Spa-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Kaveri Spa at The Udaya,"5,0 dari 5 lingkaran",216 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d12231822-Reviews-Kaveri_Spa_at_The_Udaya-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Budaya Spa Bali,"5,0 dari 5 lingkaran",178 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d12929174-Reviews-Budaya_Spa_Bali-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Jaens Spa Ubud,,1.550 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d1940511-Reviews-Jaens_Spa_Ubud-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Rumah Ubud Yoga,"5,0 dari 5 lingkaran",511 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d6547228-Reviews-Ubud_Yoga_House-Ubud_Gianyar_Regency_Bali.html
