,Travel Destination,Hotel Link,Hotel Best Deal,Flight Link,Flight Best Deal
89,Kepulauan Togian,https://www.tripadvisor.co.id/Hotels-g1025046-Togian_Islands_Central_Sulawesi_Sulawesi-Hotels.html,Rp 681.818,https://www.tripadvisor.co.id/Flights-g1025046-Togian_Islands_Central_Sulawesi_Sulawesi-Cheap_Discount_Airfares.html,
90,Jember,https://www.tripadvisor.co.id/Hotels-g1052738-Jember_East_Java_Java-Hotels.html,Rp 232.345,https://www.tripadvisor.co.id/Flights-g1052738-Jember_East_Java_Java-Cheap_Discount_Airfares.html,
91,Padangbai,https://www.tripadvisor.co.id/Hotels-g1078452-Padangbai_Bali-Hotels.html,Rp 758.315,https://www.tripadvisor.co.id/Flights-g1078452-Padangbai_Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
92,Lagoi,https://www.tripadvisor.co.id/Hotels-g1096248-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province-Hotels.html,Rp 9.768.000,https://www.tripadvisor.co.id/Flights-g1096248-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province-Cheap_Discount_Airfares.html,
93,Karangasem,https://www.tripadvisor.co.id/Hotels-g608484-Karangasem_Bali-Hotels.html,Rp 744.245,https://www.tripadvisor.co.id/Flights-g608484-Karangasem_Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
94,Ambon,https://www.tripadvisor.co.id/Hotels-g608477-Ambon_Maluku_Islands-Hotels.html,Rp 359.504,https://www.tripadvisor.co.id/Flights-g608477-Ambon_Maluku_Islands-Cheap_Discount_Airfares.html,Rp 5.066.600
95,Munduk,https://www.tripadvisor.co.id/Hotels-g608490-Munduk_Banjar_Buleleng_Regency_Bali-Hotels.html,Rp 244.643,https://www.tripadvisor.co.id/Flights-g608490-Munduk_Banjar_Buleleng_Regency_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
96,Kediri,https://www.tripadvisor.co.id/Hotels-g311297-Kediri_East_Java_Java-Hotels.html,Rp 278.649,https://www.tripadvisor.co.id/Flights-g311297-Kediri_East_Java_Java-Cheap_Discount_Airfares.html,
97,Jawa Barat,https://www.tripadvisor.co.id/Hotels-g2301792-West_Java_Java-Hotels.html,Rp 1.059.917,https://www.tripadvisor.co.id/Flights-g2301792-West_Java_Java-Cheap_Discount_Airfares.html,
98,Jawa Timur,https://www.tripadvisor.co.id/Hotels-g2301797-East_Java_Java-Hotels.html,Rp 400.000,https://www.tripadvisor.co.id/Flights-g2301797-East_Java_Java-Cheap_Discount_Airfares.html,
